author,citation,country,year,impact_factor
paola alberti,Pain management    ,,0,0
paola alberti,Frontiers in Pharmacology   ,,0,0
paola alberti,Expert Opinion on Drug Metabolism & Toxicology    ,,0,0
paola alberti,J Peripher Nerv Syst  SS ,,0,0
paola alberti,Journal of the Peripheral Nervous System   ,,0,0
paola alberti,Supportive Care in Cancer    ,,0,0
paola alberti,Frontiers in Cell and Developmental Biology   ,,0,0
paola alberti,International Journal of Molecular Sciences    ,,0,0
paola alberti,Exp Neurol  ,,0,0
paola alberti,Cancer nursing    ,,0,0
paola alberti,Annals of oncology    ,,0,0
paola alberti,Journal of the Peripheral Nervous System    ,,0,0
paola alberti,Toxics    ,,0,0
paola alberti,European Journal of Cancer   ,,0,0
paola alberti,Clinical Neurophysiology Official Journal of the International Federation … ,,0,0
paola alberti,Neurological Sciences   ,,0,0
paola alberti,International Archives of Occupational and Environmental Health   ,,0,0
paola alberti,Scientific Reports    ,,0,0
paola alberti,International Journal of Cancer Research and Prevention    ,,0,0
paola alberti,Journal of the Peripheral Nervous System  SS ,,0,0
paola alberti,Psicogeriatria   ,,0,0
paola alberti,Supportive Care in Cancer    ,,0,0
paola alberti,Pain  ,,0,0
paola alberti,NEUROLOGY OF COVID– [Internet] ,,0,0
paola alberti,Diagnosis Management and Emerging Strategies for ChemotherapyInduced … ,,0,0
paola alberti,"Abstract book of"" EANO meeting The European Association of NeuroOncology … ",,0,0
paola alberti,Proc Intl Soc Mag Reson Med   ,,0,0
paola alberti,International Journal of Molecular Sciences    ,,0,0
paola alberti,Journal of the Peripheral Nervous System    ,,0,0
paola alberti,Journal of the peripheral nervous system    ,,0,0
paola alberti,Supportive Care in Cancer    ,,0,0
paola alberti,Data_not_available,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM  S  ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM  S  ,,0,0
paola alberti,Abstract book ,,0,0
paola alberti,Data_not_available,,0,0
paola alberti,Data_not_available,,0,0
paola alberti,Supportive Care in Cancer   ,,0,0
paola alberti,Brain Research Bulletin  ,,0,0
paola alberti,Italian Journal of Anatomy and Embryology  S  ,,0,0
paola alberti,Italian Journal of Anatomy and Embryology  S  ,,0,0
paola alberti,Data_not_available,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM  S  ,,0,0
paola alberti,Data_not_available,,0,0
paola alberti,Abstract book ,,0,0
paola alberti,Abstract book ,,0,0
paola alberti,Meeting proceedings ,,0,0
paola alberti,Meeting proceedings ,,0,0
paola alberti,Data_not_available,,0,0
paola alberti,Meeting proceedings ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM  S  ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM  S  ,,0,0
paola alberti,Italian Journal of Anatomy and Embryology  S  ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM  SS ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM  SS ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM  SS ,,0,0
paola alberti,Data_not_available,,0,0
paola alberti,NeuroMI Meeting proceedings ,,0,0
paola alberti,Italian Journal of Anatomy and Embryology   ,,0,0
paola alberti,Pharmacogenomics in Drug Discovery and Development  ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM  S  ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM  S  ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM  S  ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM  S  ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM    ,,0,0
paola alberti,Italian Journal of Anatomy & Embryology/Archivio Italiano di Anatomia Ed … ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM  S  ,,0,0
paola alberti,Data_not_available,,0,0
paola alberti,EUROPEAN JOURNAL OF HISTOCHEMISTRY  ,,0,0
paola alberti,Abstract book ,,0,0
paola alberti,Abstract book ,,0,0
paola alberti,EUROPEAN JOURNAL OF HISTOCHEMISTRY ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM  S SS ,,0,0
paola alberti,Data_not_available,,0,0
paola alberti,Italian Journal of Anatomy and Embryology   ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM    ,,0,0
paola alberti,s Note MDPI stays neutral with regard to jurisdictional claims in published … ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM    ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM    ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM    ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM    ,,0,0
paola alberti,Effects of Cancer Treatment on the Nervous System Volume   ,,0,0
paola alberti,The FASEB Journal  S  ,,0,0
paola alberti,"Abstract book di"" Morfologia e dintorni"" ° incontro nazionale  settembre  ",,0,0
paola alberti,Abstract book del ° Incontro Morfologia e dintorni ,,0,0
paola alberti,Abstract book ,,0,0
paola alberti,ABSTRACT BOOK ,,0,0
paola alberti,Abstract book ,,0,0
paola alberti,Abstract book ,,0,0
paola alberti,Meeting proceedings ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM    ,,0,0
paola alberti,MEETING PROCEEDINGS    ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM    ,,0,0
paola alberti,International Journal of Gynecologic Cancer  Suppl  ,,0,0
paola alberti,Università degli Studi di MilanoBicocca ,,0,0
paola alberti,PNS MEETING PROCEEDINGS ,,0,0
paola alberti,MEETING PROCEEDINGS NEUMI ,,0,0
paola alberti,MEETING PROCEEDINGSPNS MEETING  ,,0,0
paola alberti,PNS MEETING PROCEEDINGS ,,0,0
paola alberti,Abstract book ,,0,0
paola alberti,PNS  MEETING PROCEEDINGS ,,0,0
paola alberti,PNS MEETING MEETING PROCEEDINGS ,,0,0
paola alberti,PNS MEETING  ABSTRACT BOOK ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM  supp  SS ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM  suppl  SS ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM  suppl  SS ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM  suppl  SS ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM  supp  SS ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM    ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM  SS ,,0,0
paola alberti,Libro atti meeting Neuromi ,,0,0
paola alberti,Libro degli abstract del XXV Convegno annuale dell’Associazione Italiana per … ,,0,0
paola alberti,Proceedings Meeting  ,,0,0
paola alberti,"Atti del Convegno"" La richiesta di competenza neurologica nel prossimo … ",,0,0
paola alberti,"Abstract"" VIII riunione annuale ASNP"" ",,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM    ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM    ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM  Supplement SS ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM  S  ,,0,0
paola alberti,"Atti congresso"" VIII riunione annuale ASNP"" ",,0,0
paola alberti,CLINICAL PHARMACOLOGY & THERAPEUTICS  SS ,,0,0
paola alberti,Abstract book del ° convegno trivento dei centri di terapia del dolore e … ,,0,0
paola alberti,"Abstract"" Festival della luce di Como"" ",,0,0
paola alberti,Abstract book Modelli animali e medicina traslazionale qualità e … ,,0,0
paola alberti,Abstract book AISAL  ,,0,0
paola alberti,XLVIII Congresso Societa'Italiana Di Neurologia book of abstract ,,0,0
paola alberti,“International Symposium on Neurobiology” a joint meeting between the … ,,0,0
paola alberti,Abstract Book NeuroMi  ,,0,0
paola alberti,Abstract falling walls ,,0,0
paola alberti,Abstract Modelli animali e medicina traslazionale qualità e riproducibilità … ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM    ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM    ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM  suppl  SS ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM  SS ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM  Supplement  SS ,,0,0
paola alberti,Reactions   ,,0,0
paola alberti,Università Degli Studi di MilanoBicocca ,,0,0
paola alberti,"Abstract Book of"" th World Congress on pain  International Association … ",,0,0
paola alberti,XXIII Convegno Annuale AISAL ,,0,0
paola alberti,CORE CURRICULUM  ,,0,0
paola alberti,"Abstract Book"" V Giornata dello Specializzando in Neurologia"" ",,0,0
paola alberti,"Abstract Book of"" VI European Conference on Cured and Chronic Cancer Patients"" ",,0,0
paola alberti,Quinta giornata dello specializzando in neurologia ,,0,0
paola alberti,Libro degli abstract del XLVII Congresso della società italiana di neurologia ,,0,0
paola alberti,Abstract book of Neuroscience  meeting ,,0,0
paola alberti,Libro degli atti del XLVII congresso della società italiana di neurologia … ,,0,0
paola alberti,Abstracts for the Second International Meeting of the Milan Center for … ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM  SS ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM  SS ,,0,0
paola alberti,Education  ,,0,0
paola alberti,Abstract Book of First Joint Meeting of Societe Francophone du Nerf … ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM    ,,0,0
paola alberti,Neurooncology  Suppl  ii ,,0,0
paola alberti,Reactions   ,,0,0
paola alberti,"Conference proceedings of"" ENFS European Federation of Neurological … ",,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM  Supplement SS ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM   ,,0,0
paola alberti,NEUROLOGICAL SCIENCES   ,,0,0
paola alberti,Libro degli atti del ° Congresso Nazionale AISD ,,0,0
paola alberti,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM   ,,0,0
paola alberti,Journal of Clinical Oncology  _suppl  ,,0,0
paola alberti,Elementi di neurologia per odontoiatria  ,,0,0
paola alberti,I SUPPLEMENTI DI TUMORI ,,0,0
paola alberti,Harrison Principi di Medicina Interna   ,,0,0
paola alberti,Abstract Book of the  Mediterrean Area Neurological Socities Meeting ,,0,0
paola alberti,Data_not_available,,0,0
paola alberti,HarrisonPrincipi di medicina interna   ,,0,0
paola alberti,NEUROLOGICAL SCIENCES ,,0,0
paola alberti,european journal of cancer S ,,0,0
paola alberti,"Abstract book of"" International Symposium on Platinum Coordination Compounds … ",,0,0
paola alberti,McGrawHill ,,0,0
paola alberti,Proc Intl Soc Mag Reson Med   ,,0,0
paola alberti,NEUROLOGICAL SCIENCES  Supplement  ,,0,0
paola alberti,Psicogeriatria ,,0,0
paola alberti,MOLECULAR IMMUNOLOGY    ,,0,0
paola alberti,Cell and tissue research   ,,0,0
paola alberti,ANATOMICAL RECORD   & ,,0,0
paola alberti,Data_not_available,,0,0
paola alberti,Data_not_available,,0,0
paola alberti,Data_not_available,,0,0
kishal lukhna,Basic Research in Cardiology    ,,0,0
kishal lukhna,Cardiovascular Journal of Africa    ,,0,0
kishal lukhna,Cardiovascular Drugs and Therapy    ,,0,0
kishal lukhna,Molecular genetics and metabolism    ,,0,0
kishal lukhna,Cardiovascular Drugs and Therapy    ,,0,0
kishal lukhna,Cardiovascular Drugs and Therapy  ,,0,0
kishal lukhna,CARDIOVASCULAR DRUGS AND THERAPY    ,,0,0
kishal lukhna,Cardiovascular Drugs and Therapy ,,0,0
kishal lukhna,Data_not_available,,0,0
